Accession,Organism_Name,Organism_Common_Name,Organism_Taxonomic_ID,Submitter,Submission_Date,Sequencing_Tech,Level,Contig_L50,Contig_N50,GC_Count,GC_Percent,Number_of_Component_Sequences,Number_of_Contigs,Number_of_Scaffolds,Scaffold_L50,Scaffold_N50,Total_Number_of_Chromosomes,Total_Sequence_Length,Total_Ungapped_Length,Organism_Infraspecific_Names_Sex,Source_Database,WGS_project_accession,First_Publication_Date,Original_Contig_N50,Phylum,Sequencing_Type
GCA_000236345.1,Clonorchis sinensis,oriental liver fluke,79923,"Department of Parasitology, Zhongshan School of Medicine, Sun Yat-sen University",2011-11-28,Illumina,Scaffold,719,233037,241009334.0,44.0,6190,6190,4348.0,408.0,417486.0,,547288241,547104041,,SOURCE_DATABASE_GENBANK,BADR02,2011-11-28,233037,Platyhelminthes,Short read
GCA_900004695.1,Colubraria reticulata,,604273,UNIVERSITY OF KONSTANZ,2016-03-09,nan,Contig,18534,890,29726529.0,44.0,144469,144469,,,,,67101142,67101142,,SOURCE_DATABASE_GENBANK,CVMW01,2016-03-09,890,Mollusca,No information provided
GCA_029237695.1,Conchocele bisecta,,1803738,"Institute of Oceanology, Chinese Academy of Sciences",2023-03-20,BGISEQ500; PacBio Sequel,Chromosome,972,515412,745331051.0,39.0,6452,15364,6452.0,7.0,106883709.0,17.0,1904932765,1900476765,,SOURCE_DATABASE_GENBANK,JAQRGA01,2023-03-20,515412,Mollusca,Long read
GCA_027627225.1,Congeria kusceri,,152013,University of Missouri,2023-01-13,PacBio Sequel,Chromosome,65,6387040,551917242.0,35.5,1084,1411,1084.0,9.0,72441503.0,17.0,1550098618,1550033218,,SOURCE_DATABASE_GENBANK,JAPFQT01,2023-01-13,6387040,Mollusca,Long read
GCA_016801955.1,Conus betulinus,,89764,BGI-SZ,2021-02-02,PacBio Sequel,Scaffold,4483,182638,1503664060.0,44.0,41413,51350,41413.0,3759.0,232489.0,,3429626206,3399673548,,SOURCE_DATABASE_GENBANK,JADBJO01,2021-02-02,182638,Mollusca,Long read
GCA_004193615.1,Conus consors,,101297,The CONCO consortium,2019-02-12,454; Illumina GAII,Scaffold,699343,749,800012824.0,42.0,2688687,3163942,2688687.0,183328.0,1128.0,,2049318684,1888147972,,SOURCE_DATABASE_GENBANK,SDAX01,2019-02-12,749,Mollusca,Short read
GCA_001262575.1,Conus tribblei,,101761,"Marine Science Institute, University of the Philippines-Diliman",2015-08-04,Illumina HiSeq,Scaffold,536985,854,720854365.0,42.5,1126156,3298691,1126156.0,215632.0,2681.0,,2160493082,1693230923,female,SOURCE_DATABASE_GENBANK,LFLW01,2015-08-04,854,Mollusca,Short read
GCA_018398815.1,Conus ventricosus,,117992,Museo Nacional de Ciencias Naturales (CSIC),2021-05-25,PacBio Sequel II,Chromosome,8015,114325,1560157165.0,43.5,19399,73814,19399.0,16.0,93519712.0,35.0,3592060885,3563430885,,SOURCE_DATABASE_GENBANK,JAFLJL01,2021-05-25,114325,Mollusca,Long read
GCA_001632725.1,Corbicula fluminea,asian clam,45949,University of Girona,2016-04-26,454,Contig,267,849,233504.0,35.0,778,778,,,,,662517,662517,,SOURCE_DATABASE_GENBANK,LWHL01,2016-04-26,849,Mollusca,Short read
GCF_025612915.1,Crassostrea angulata,Portugese oyster,558553,Ocean University of China,2022-10-07,PacBio Sequel,Chromosome,18,10870631,209550954.0,33.5,410,673,410.0,5.0,60476782.0,10.0,624273838,624142338,female,SOURCE_DATABASE_REFSEQ,JANFPH01,2022-10-07,10870631,Mollusca,Long read
GCA_025612915.2,Crassostrea angulata,Portugese oyster,558553,Ocean University of China,2022-10-07,PacBio Sequel,Chromosome,18,10870631,209550954.0,33.5,410,673,410.0,5.0,60476782.0,10.0,624273838,624142338,female,SOURCE_DATABASE_GENBANK,JANFPH01,2022-10-07,10870631,Mollusca,Long read
GCA_025765675.1,Crassostrea angulata,Portugese oyster,558553,"Institute of Oceanology, Chinese Academy of Sciences",2022-10-20,PacBio CCS,Scaffold,18,12787832,195916905.0,33.5,75,166,75.0,5.0,60089347.0,,582327017,582281517,,SOURCE_DATABASE_GENBANK,JAOAOL01,2022-10-20,12787832,Mollusca,Long read
GCA_020458035.1,Crassostrea ariakensis,Suminoe oyster,94323,"Yellow Sea Fisheries Research Institute, Chinese Academy of Fishery Sciences",2021-10-15,PacBio,Chromosome,37,5932265,222443114.0,33.5,60,522,60.0,5.0,66336742.0,10.0,663145247,662866272,,SOURCE_DATABASE_GENBANK,JAIUNE01,2021-10-15,5932265,Mollusca,Long read
GCA_020567875.1,Crassostrea ariakensis,Suminoe oyster,94323,"Institute of Oceanology, Chinese Academy of Sciences",2021-11-04,Oxford Nanopore PromethION,Chromosome,37,4726206,205120938.0,33.0,415,630,415.0,5.0,62260571.0,10.0,613913980,613892480,,SOURCE_DATABASE_GENBANK,JAGFMG01,2021-11-04,4726206,Mollusca,Long read
GCF_902806645.1,Crassostrea gigas,Pacific oyster,29159,THE ROSLIN INSTITUTE,2020-02-19,nan,Chromosome,116,1564469,217012898.0,33.0,236,783,236.0,5.0,58462999.0,10.0,647887097,647867330,,SOURCE_DATABASE_REFSEQ,CADCXH01,2020-02-19,1564469,Mollusca,No information provided
GCF_000297895.1,Crassostrea gigas,Pacific oyster,29159,BGI-Shenzhen,2012-09-19,Illumina HiSeq 2000,Scaffold,4652,31239,,,30459,30459,7658.0,400.0,401685.0,,557717710,491850583,,SOURCE_DATABASE_REFSEQ,AFTI01,2012-09-19,31239,Mollusca,Short read
GCA_000297895.1,Crassostrea gigas,Pacific oyster,29159,BGI-Shenzhen,2012-09-19,Illumina HiSeq 2000,Scaffold,4652,31239,164400223.0,33.0,30459,30459,7658.0,400.0,401685.0,,557717710,491850583,,SOURCE_DATABASE_GENBANK,AFTI01,2012-09-19,31239,Mollusca,Short read
GCA_000297895.2,Crassostrea gigas,Pacific oyster,29159,BGI-Shenzhen,2019-08-08,Illumina HiSeq,Scaffold,3890,42304,183417315.0,33.0,7655,26965,7655.0,547.0,286862.0,,564789775,548819937,,SOURCE_DATABASE_GENBANK,AFTI02,2012-09-19,31239,Mollusca,Short read
GCA_005518195.2,Crassostrea gigas,Pacific oyster,29159,Northwestern Polytechnical University,2019-12-16,Oxford Nanopore GridION,Contig,220,581941,195855487.0,33.0,3676,3676,,,,,587503506,587503506,male,SOURCE_DATABASE_GENBANK,SZQM02,2019-05-20,436376,Mollusca,Long read
GCA_011032805.1,Crassostrea gigas,Pacific oyster,29159,"Institute of Oceanology, Chinese Academy of Sciences",2020-02-27,PacBio Sequel,Chromosome,65,3119288,196512881.0,33.0,10,301,10.0,5.0,60957391.0,10.0,586856703,586827603,female,SOURCE_DATABASE_GENBANK,,2020-02-27,3119288,Mollusca,Long read
GCA_025765685.1,Crassostrea gigas,Pacific oyster,29159,"Institute of Oceanology, Chinese Academy of Sciences",2022-10-20,PacBio CCS,Scaffold,35,5462831,204164067.0,33.5,88,293,88.0,5.0,60539700.0,,606372393,606269893,,SOURCE_DATABASE_GENBANK,JAOAOK01,2022-10-20,5462831,Mollusca,Long read
GCA_902806645.1,Crassostrea gigas,Pacific oyster,29159,THE ROSLIN INSTITUTE,2020-02-19,nan,Chromosome,116,1564469,217012898.0,33.0,236,783,236.0,5.0,58462999.0,10.0,647887097,647867330,,SOURCE_DATABASE_GENBANK,CADCXH01,2020-02-19,1564469,Mollusca,No information provided
GCA_015776775.1,Crassostrea hongkongensis,Hong Kong oyster,298176,Guangxi Academy of Fisheries Science,2020-12-08,PacBio Sequel,Chromosome,74,2576225,203661845.0,33.5,657,1067,657.0,5.0,55855599.0,10.0,607923123,607908133,,SOURCE_DATABASE_GENBANK,VIAA01,2020-12-08,2576225,Mollusca,Long read
GCF_002022765.2,Crassostrea virginica,eastern oyster,6565,McDonnell Genome Institute - Washington University School of Medicine,2017-09-01,PacBio_RSII,Chromosome,108,1971208,238490087.0,34.5,10,668,10.0,4.0,75944018.0,10.0,684723884,684658084,,SOURCE_DATABASE_REFSEQ,MWPT03,2017-03-08,1971208,Mollusca,Long read
GCA_002022765.4,Crassostrea virginica,eastern oyster,6565,McDonnell Genome Institute - Washington University School of Medicine,2017-09-01,PacBio_RSII,Chromosome,108,1971208,238490087.0,34.5,10,668,10.0,4.0,75944018.0,10.0,684723884,684658084,,SOURCE_DATABASE_GENBANK,MWPT03,2017-03-08,1971208,Mollusca,Long read
GCA_009760855.2,Cristatella mucedo,,67896,Bioinformatics Institute,2020-10-23,PacBio Sequel; Oxford Nanopore; Illumina HiSeq,Scaffold,35,4115582,269287642.0,46.5,985,986,985.0,35.0,4115582.0,,573869636,573869626,,SOURCE_DATABASE_GENBANK,WPIO01,2019-12-17,4115582,Bryozoa,Long read
GCA_945261195.1,Cryptosula pallasiana,,558755,WELLCOME SANGER INSTITUTE,2022-07-13,nan,Chromosome,96,1788101,225090940.0,37.0,847,1662,847.0,6.0,46264604.0,12.0,605593191,605430191,,SOURCE_DATABASE_GENBANK,CALYOO01,2022-07-13,1788101,Bryozoa,No information provided
GCA_945257105.1,Cryptosula pallasiana,,558755,WELLCOME SANGER INSTITUTE,2022-07-13,nan,Contig,343,422764,193051592.0,37.0,3616,3616,,,,,519859578,519859578,,SOURCE_DATABASE_GENBANK,CALYON01,2022-07-13,422764,Bryozoa,No information provided
GCA_012932295.1,Cyclina sinensis,,120566,Jiangsu Ocean University,2020-04-29,Illumina HiSeq; PacBio,Scaffold,118,2587078,308502808.0,34.0,187,701,187.0,9.0,46470132.0,,903119975,902101413,female,SOURCE_DATABASE_GENBANK,JAAONU01,2020-04-29,2587078,Mollusca,Long read
GCA_900617775.1,Dibothriocephalus latus,broad fish tapeworm,60516,WTSI,2018-12-05,nan,Scaffold,63899,2114,212936658.0,43.0,140294,422791,140294.0,21785.0,6744.0,,531434409,493054376,,SOURCE_DATABASE_GENBANK,UYRU01,2018-12-05,2114,Platyhelminthes,No information provided
GCA_944474145.2,Dicrocoelium dendriticum,,57078,WELLCOME SANGER INSTITUTE,2022-09-23,nan,Chromosome,4074,125327,855032295.0,45.0,19455,37564,19455.0,6.0,117106881.0,13.0,1889962902,1883491742,,SOURCE_DATABASE_GENBANK,CALYDF02,2022-09-15,125327,Platyhelminthes,No information provided
GCA_000950715.1,Dicrocoelium dendriticum,,57078,WTSI,2014-09-24,nan,Contig,330085,403,178005874.0,41.5,478538,1156600,,,,,547921014,424790813,,SOURCE_DATABASE_GENBANK,,2014-09-24,403,Platyhelminthes,No information provided
GCA_011109175.1,Dicyema japonicum,,399803,Okinawa Institute of Science and Technology Graduate University,2020-03-10,Illumina MiSeq; Illumina HiSeq; PacBio RSII,Scaffold,96,192981,23778242.0,36.5,377,1997,377.0,22.0,1000208.0,,67542437,64797277,,SOURCE_DATABASE_GENBANK,RDEW01,2020-03-10,192981,Dicyemida,Long read
GCA_905250885.1,Didymodactylos carnosus,,1234261,IMPERIAL COLLEGE LONDON,2021-03-21,nan,Scaffold,7809,11859,123567682.0,33.5,78356,79051,78356.0,7695.0,12000.0,,368785172,368775016,,SOURCE_DATABASE_GENBANK,CAJNOQ01,2021-03-21,11859,Rotifera,No information provided
GCA_905249995.1,Didymodactylos carnosus,,1234261,IMPERIAL COLLEGE LONDON,2021-05-18,nan,Scaffold,11975,7558,108279295.0,33.0,87048,90367,87048.0,11657.0,7779.0,,323562373,323523290,,SOURCE_DATABASE_GENBANK,CAJNOK01,2021-05-18,7558,Rotifera,No information provided
GCA_905332065.1,Didymodactylos carnosus,,1234261,IMPERIAL COLLEGE LONDON,2021-05-19,nan,Scaffold,9618,10036,135105234.0,33.5,165346,168815,165346.0,9156.0,10523.0,,401585883,401488337,,SOURCE_DATABASE_GENBANK,CAJOBC01,2021-05-19,10036,Rotifera,No information provided
GCA_905332075.1,Didymodactylos carnosus,,1234261,IMPERIAL COLLEGE LONDON,2021-05-18,nan,Scaffold,13568,6900,115436689.0,33.5,121494,126861,121494.0,13022.0,7197.0,,344087970,344018061,,SOURCE_DATABASE_GENBANK,CAJOBA01,2021-05-18,6900,Rotifera,No information provided
GCA_904063045.1,Dimorphilus gyrociliatus,,2664684,UNIVERSITY OF BERGEN/DEPT. OF BIOLOGY,2020-08-25,nan,Scaffold,27,979161,24141911.0,31.0,349,779,349.0,11.0,2241898.0,,77897245,76985580,,SOURCE_DATABASE_GENBANK,CAJFCJ01,2020-08-25,979161,Annelida,No information provided
GCA_017562135.1,Dipylidium caninum,,66787,Chinese Academy of Agricultural Sciences,2021-03-22,PacBio; Illumina HiSeq,Contig,47,598478,50806781.0,46.5,1686,1686,,,,,109012297,109012297,,SOURCE_DATABASE_GENBANK,QEYB01,2021-03-22,598478,Platyhelminthes,Long read
GCA_028455885.1,Dipylidium caninum,,66787,Kansas State University College of Veterinary Medicine,2023-02-03,Illumina HiSeq,Scaffold,910,18023,37489856.0,45.5,18001,22731,18001.0,319.0,65234.0,,82493519,82040403,,SOURCE_DATABASE_GENBANK,JAODJR01,2023-02-03,18023,Platyhelminthes,Short read
GCA_028456195.1,Dipylidium caninum,,66787,Kansas State University College of Veterinary Medicine,2023-02-03,Illumina HiSeq,Scaffold,2285,8895,39856465.0,46.0,19975,27256,19975.0,600.0,36068.0,,86576386,85879189,,SOURCE_DATABASE_GENBANK,JAODJQ01,2023-02-03,8895,Platyhelminthes,Short read
GCA_023376005.1,Doryteuthis pealeii,longfin inshore squid,1051067,UC Berkeley,2022-05-25,PacBio; Illumina,Chromosome,5625,230938,1551141463.0,33.5,2138,33930,2138.0,18.0,107400528.0,46.0,4598001602,4595024307,male,SOURCE_DATABASE_GENBANK,JALAJA01,2022-05-25,230938,Mollusca,Long read
GCA_016106625.1,Dracogyra subfuscus,,2038759,Hong Kong University of Science and Technology,2020-12-17,Illumina NovaSeq,Scaffold,77437,4083,423878751.0,36.5,444004,568402,444004.0,53944.0,5907.0,,1161245404,1153161013,,SOURCE_DATABASE_GENBANK,JAECMU01,2020-12-17,4083,Mollusca,Short read
GCF_020536995.1,Dreissena polymorpha,zebra mussel,45954,University of Minnesota,2021-10-21,PacBio Sequel; Illumina HiSeq,Chromosome,444,1111654,631785015.0,35.0,193,2861,193.0,6.0,117515028.0,16.0,1797942340,1797675540,male,SOURCE_DATABASE_REFSEQ,JAIWYP01,2021-10-21,1111654,Mollusca,Long read
GCA_000806325.1,Dreissena polymorpha,zebra mussel,45954,University of Girona,2014-12-22,454,Contig,342,855,325611.0,35.5,1057,1057,,,,,905680,905680,,SOURCE_DATABASE_GENBANK,JWHF01,2014-12-22,855,Mollusca,Short read
GCA_020536995.1,Dreissena polymorpha,zebra mussel,45954,University of Minnesota,2021-10-26,PacBio Sequel; Illumina HiSeq,Chromosome,444,1111654,631785015.0,35.0,193,2861,193.0,6.0,117515028.0,16.0,1797942340,1797675540,male,SOURCE_DATABASE_GENBANK,JAIWYP01,2021-10-26,1111654,Mollusca,Long read
GCA_007657795.1,Dreissena rostriformis,,205083,University of Vienna,2019-07-30,Illumina HiSeq,Scaffold,7207,45905,411150428.0,34.5,18514,49413,18514.0,2630.0,131390.0,,1241703712,1178809608,male,SOURCE_DATABASE_GENBANK,VMBQ01,2019-07-30,45905,Mollusca,Short read
GCA_001938525.1,Dugesia japonica,,6161,University of Oxford,2017-01-06,Illumina,Scaffold,195147,1166,222711159.0,26.5,648594,925272,648594.0,127723.0,1740.0,,854187087,830036712,,SOURCE_DATABASE_GENBANK,MQRL01,2017-01-06,1166,Platyhelminthes,Short read
GCA_900004735.1,Echinococcus canadensis,,519352,IMPAM-UBA-CONICET,2016-05-29,nan,Scaffold,395,74555,48144211.0,41.5,9330,9332,9330.0,395.0,74555.0,,115024622,115022610,,SOURCE_DATABASE_GENBANK,CVKT01,2016-05-29,74555,Platyhelminthes,No information provided
GCF_000524195.1,Echinococcus granulosus,,6210,Chinese National Human Genome Center at Shanghai,2014-01-28,454; Illumina,Scaffold,660,42483,45992196.0,41.5,957,8264,957.0,39.0,712683.0,,110837706,110107006,,SOURCE_DATABASE_REFSEQ,APAU02,2014-01-28,42483,Platyhelminthes,Short read
GCA_000524195.1,Echinococcus granulosus,,6210,Chinese National Human Genome Center at Shanghai,2014-01-28,454; Illumina,Scaffold,660,42483,45992196.0,41.5,957,8264,957.0,39.0,712683.0,,110837706,110107006,,SOURCE_DATABASE_GENBANK,APAU02,2014-01-28,42483,Platyhelminthes,Short read
GCA_021556725.1,Echinococcus granulosus,,6210,University of Melbourne,2022-01-24,PacBio,Chromosome,24,1386608,71326416.0,42.0,31,542,31.0,4.0,18675433.0,9.0,172983221,168957719,,SOURCE_DATABASE_GENBANK,JAIKUZ01,2022-01-24,1386608,Platyhelminthes,Long read
GCA_000469725.3,Echinococcus multilocularis,,6211,WTSI,2015-12-10,nan,Scaffold,5,11270870,47331224.0,42.0,1247,1249,1217.0,4.0,13762452.0,,114963228,112138579,,SOURCE_DATABASE_GENBANK,CBLO02,2013-08-29,275497,Platyhelminthes,No information provided
GCA_900683695.1,Echinococcus oligarthrus,,6212,IMPAM-UBA-CONICET,2019-06-14,nan,Contig,12825,2071,41360374.0,39.0,74513,74513,,,,,105959096,105959096,,SOURCE_DATABASE_GENBANK,CABFON01,2019-06-14,2071,Platyhelminthes,No information provided
GCA_900618425.1,Echinostoma caproni,,27848,WTSI,2018-12-13,nan,Scaffold,23211,8953,327197759.0,42.5,86083,160780,86083.0,7892.0,26954.0,,834556378,769163222,,SOURCE_DATABASE_GENBANK,UZAN01,2018-12-13,8953,Platyhelminthes,No information provided
GCA_003999395.1,Eisenia fetida,common brandling worm,6396,CSIR Insitute of Genomics and Integrative Biology,2019-01-04,Illumina,Scaffold,147157,897,183608485.0,40.0,399003,536508,399003.0,46184.0,9314.0,,1471976452,455840724,,SOURCE_DATABASE_GENBANK,SACV01,2019-01-04,897,Annelida,Short read
GCA_900000155.1,Eisenia fetida,common brandling worm,6396,Whitney Laboratory for Marine Bioscience,2017-02-13,nan,Scaffold,917147,199,300595690.0,40.5,1659527,4728942,1659527.0,141722.0,1852.0,,1052631503,738547526,,SOURCE_DATABASE_GENBANK,CYRZ01,2017-02-13,199,Annelida,No information provided
GCA_003991915.1,Elysia chlorotica,eastern emerald elysia,188477,BGI,2019-01-04,Illumina; PacBio,Scaffold,4983,30474,203539911.0,37.5,9989,41686,9989.0,386.0,441954.0,,557480303,540565842,,SOURCE_DATABASE_GENBANK,RQTK01,2019-01-04,30474,Mollusca,Long read
GCA_019649035.1,Elysia marginata,,1093978,National Institute for Basic Biology,2021-05-09,Illumina,Scaffold,32472,6205,258783299.0,36.5,14149,213732,14149.0,967.0,225654.0,,790322091,707937847,,SOURCE_DATABASE_GENBANK,BMAT01,2021-05-09,6205,Mollusca,Short read
GCA_905160935.1,Enchytraeus crypticus,,913645,Ghent University,2021-08-12,nan,Contig,118,1254661,186000458.0,35.0,911,911,,,,,525207436,525207436,,SOURCE_DATABASE_GENBANK,CAJHZI01,2021-08-12,1254661,Annelida,No information provided
GCA_027564315.1,Enteroctopus dofleini,giant octopus,267067,Iridian Genomes,2023-01-03,Illumina,Scaffold,194003,1120,249741236.0,37.0,569232,675430,569232.0,114067.0,1386.0,,743946058,669343358,,SOURCE_DATABASE_GENBANK,JAOPUF01,2023-01-03,1120,Mollusca,Short read
GCA_011762755.2,Epimenia babai,,231999,IRIDIAN GENOMES,2022-11-30,Illumina,Scaffold,24910,5209,234129972.0,43.5,229818,238599,229818.0,23560.0,5504.0,,537167073,536824024,,SOURCE_DATABASE_GENBANK,WURV02,2020-03-27,21237,Mollusca,Short read
GCA_029291075.1,Eudiplozoon nipponicum,,116851,Masaryk University,2023-03-20,Illumina HiSeq; Illumina MiSeq; Oxford Nanopore MinION,Contig,3219,87067,328693137.0,34.5,21044,21044,,,,,939802929,939802929,hermaphrodite,SOURCE_DATABASE_GENBANK,JAQBSW01,2023-03-20,87067,Platyhelminthes,Long read
GCA_020405105.1,Eudrilus eugeniae,,169957,Manonmaniam Sundaranar University,2021-10-10,Illumina HiSeq,Contig,136832,906,202386471.0,42.5,738694,738694,,,,,475020277,475020277,,SOURCE_DATABASE_GENBANK,JAIOKP01,2021-10-10,906,Annelida,Short read
GCA_024364805.1,Euprymna scolopes,,6613,"Simakov, Department of Neuroscience and Developmental Biology, University of Vienna",2022-07-22,HiC,Chromosome,237408,3675,1121240242.0,33.5,1735,1535427,1735.0,17.0,120303996.0,48.0,5116329061,3314970704,,SOURCE_DATABASE_GENBANK,JANFOI01,2022-07-22,3675,Mollusca,Short read
GCA_004765925.1,Euprymna scolopes,,6613,University of Hawaii at Manoa,2019-04-09,Illumina GAIIx,Scaffold,249940,3558,1153321779.0,33.5,59146,1644234,59146.0,397.0,3549550.0,,5280013996,3411733096,,SOURCE_DATABASE_GENBANK,SRIE01,2019-04-09,3558,Mollusca,Short read
GCA_018104335.1,Fasciola gigantica,,46835,Guangxi University,2021-04-20,PacBio Sequel,Scaffold,85,4892498,598941217.0,44.0,1021,1052,1021.0,85.0,4892498.0,,1347749759,1347749046,,SOURCE_DATABASE_GENBANK,JAEQMV01,2021-04-20,4892498,Platyhelminthes,Long read
GCA_002867515.3,Fasciola gigantica,,46835,North-Eastern Hill University,2019-08-27,Illumina HiSeq,Scaffold,29657,8066,356946572.0,43.5,40380,183354,40380.0,2105.0,128987.0,,1036293543,815809261,,SOURCE_DATABASE_GENBANK,MKHB03,2018-01-08,6547,Platyhelminthes,Short read
GCA_006461475.1,Fasciola gigantica,,46835,The Genome Institute,2019-06-25,Illumina HiSeq; PacBio RSII,Scaffold,9417,27147,470873555.0,44.0,16040,76295,16040.0,1842.0,179164.0,,1127753889,1067966422,,SOURCE_DATABASE_GENBANK,SUNJ01,2019-06-25,27147,Platyhelminthes,Long read
GCA_900302435.1,Fasciola hepatica,liver fluke,6192,LIV,2018-04-21,nan,Scaffold,9496,33509,513014329.0,44.0,78522,78522,2816.0,196.0,1903231.0,,1203652780,1163517909,,SOURCE_DATABASE_GENBANK,OMOY01,2018-04-21,33509,Platyhelminthes,No information provided
GCA_000824725.2,Fasciola hepatica,liver fluke,6192,LIV,2015-01-16,nan,Scaffold,25079,11931,521077303.0,44.0,201608,201608,37554.0,2275.0,155290.0,,1269308948,1182399016,,SOURCE_DATABASE_GENBANK,CDMT01,2015-01-16,11931,Platyhelminthes,No information provided
GCA_000947175.1,Fasciola hepatica,liver fluke,6192,LIV,2014-12-01,nan,Scaffold,24709,12161,521604278.0,44.0,195709,195709,20158.0,1799.0,204014.0,,1275107963,1183582207,,SOURCE_DATABASE_GENBANK,CCMX01,2014-12-01,12161,Platyhelminthes,No information provided
GCA_002763495.2,Fasciola hepatica,liver fluke,6192,The Genome Institute,2019-04-17,Illumina HiSeq,Scaffold,10991,27292,475918610.0,44.0,23604,95033,23604.0,2036.0,161103.0,,1138329001,1080014412,,SOURCE_DATABASE_GENBANK,JXXN02,2017-11-09,27292,Platyhelminthes,Short read
GCA_008360955.1,Fasciolopsis buski,,27845,McDonnell Genome Institute,2019-09-09,Illumina; PacBio,Scaffold,3646,51097,306623025.0,42.5,11829,31948,11829.0,1176.0,180478.0,,748157630,720122929,,SOURCE_DATABASE_GENBANK,LUCM01,2019-09-09,51097,Platyhelminthes,Long read
GCA_946902895.1,Fragum fragum,,80821,WELLCOME SANGER INSTITUTE,2022-09-22,"PacBio,Arima2",Chromosome,167,2298020,404952526.0,35.0,38,882,38.0,8.0,63927008.0,19.0,1153070089,1152901461,,SOURCE_DATABASE_GENBANK,CAMPPX01,2022-09-22,2298020,Mollusca,Long read
GCA_946902885.1,Fragum fragum,,80821,WELLCOME SANGER INSTITUTE,2022-09-22,nan,Scaffold,281,1098762,327502014.0,35.0,1295,1309,1295.0,279.0,1109219.0,,933667447,933664647,,SOURCE_DATABASE_GENBANK,CAMPPW01,2022-09-22,1098762,Mollusca,No information provided
GCA_948146395.1,Fragum whitleyi,,1699438,WELLCOME SANGER INSTITUTE,2023-01-18,"PacBio,Arima2",Chromosome,139,2802427,437110828.0,35.5,37,708,37.0,8.0,69779563.0,18.0,1224640636,1224506436,,SOURCE_DATABASE_GENBANK,CANUIF01,2023-01-18,2802427,Mollusca,Long read
GCA_948145895.1,Fragum whitleyi,,1699438,WELLCOME SANGER INSTITUTE,2023-01-18,"PacBio,Arima2",Contig,89,3144575,307999115.0,35.5,429,429,,,,,864048065,864048065,,SOURCE_DATABASE_GENBANK,CANUHU01,2023-01-18,3144575,Mollusca,Long read
GCA_922989275.2,Gari tellinella,,2589376,WELLCOME SANGER INSTITUTE,2022-10-25,"PacBio,Illumina,Arima2",Chromosome,26,19181371,582242857.0,36.0,81,260,81.0,8.0,85279272.0,19.0,1597614753,1597578953,,SOURCE_DATABASE_GENBANK,CAKLPP02,2021-12-19,19181371,Mollusca,Long read
GCA_922984925.1,Gari tellinella,,2589376,WELLCOME SANGER INSTITUTE,2021-12-18,nan,Contig,317,1564666,576626314.0,36.0,2302,2302,,,,,1581861498,1581861498,,SOURCE_DATABASE_GENBANK,CAKLPL01,2021-12-18,1564666,Mollusca,No information provided
GCA_936450465.1,Gibbula magus,,703304,WELLCOME SANGER INSTITUTE,2022-05-03,nan,Chromosome,121,3416053,536526892.0,36.0,151,1001,151.0,8.0,80454948.0,18.0,1470388822,1470219005,,SOURCE_DATABASE_GENBANK,CAKZFU01,2022-05-03,3416053,Mollusca,No information provided
GCA_936439675.1,Gibbula magus,,703304,WELLCOME SANGER INSTITUTE,2022-04-16,nan,Scaffold,909,454001,529595649.0,36.5,7594,7632,7594.0,883.0,457344.0,,1450877392,1450869975,,SOURCE_DATABASE_GENBANK,CAKZFF01,2022-04-16,454001,Mollusca,No information provided
GCA_002080005.1,Gigantidas platifrons,,2830794,Hong Kong University of Science and Technology,2017-04-05,Illumina HiSeq,Scaffold,31432,12602,499952087.0,34.0,65662,272497,65662.0,1261.0,343341.0,,1658191953,1463147377,,SOURCE_DATABASE_GENBANK,MJUT01,2017-04-05,12602,Mollusca,Short read
GCF_016097555.1,Gigantopelta aegis,,1735272,Hong Kong University of Science and Technology,2020-12-17,Illumina NovaSeq; PacBio Sequel; Hi-C,Chromosome,671,461769,427814364.0,37.0,5231,9479,5231.0,6.0,81591406.0,15.0,1149605642,1148756042,,SOURCE_DATABASE_REFSEQ,JAEHGF01,2020-12-17,461769,Mollusca,Long read
GCA_016097555.1,Gigantopelta aegis,,1735272,Hong Kong University of Science and Technology,2020-12-17,Illumina NovaSeq; PacBio Sequel; Hi-C,Chromosome,671,461769,427814364.0,37.0,5231,9479,5231.0,6.0,81591406.0,15.0,1149605642,1148756042,,SOURCE_DATABASE_GENBANK,JAEHGF01,2020-12-17,461769,Mollusca,Long read
GCA_001938485.1,Girardia tigrina,,6162,University of Oxford,2017-01-06,Illumina,Scaffold,71721,5133,390105701.0,29.0,255254,472894,255254.0,26443.0,12094.0,,1428149015,1325751104,,SOURCE_DATABASE_GENBANK,MQRK01,2017-01-06,5133,Platyhelminthes,Short read
GCA_025762795.1,Goniobranchus coi,,2723957,Iridian Genomes,2022-10-19,Illumina,Scaffold,129059,1634,253086310.0,37.0,475925,479820,475925.0,128234.0,1643.0,,677083788,677017710,,SOURCE_DATABASE_GENBANK,JAOXJN01,2022-10-19,1634,Mollusca,Short read
GCA_028565935.1,Goniobranchus fidelis,,508130,Iridian Genomes,2023-02-09,Illumina,Scaffold,137089,2036,349335326.0,37.5,559414,561039,559414.0,136629.0,2040.0,,929280104,929200220,,SOURCE_DATABASE_GENBANK,JAOWAZ01,2023-02-09,2036,Mollusca,Short read
