Assembly Accession	Organism Name	Organism Common Name	Organism Taxonomic ID	Assembly Submitter	Assembly Submission Date	Assembly Sequencing Tech	Assembly Level	Assembly Stats Contig L50	Assembly Stats Contig N50	Assembly Stats GC Count	Assembly Stats GC Percent	Assembly Stats Number of Component Sequences	Assembly Stats Number of Contigs	Assembly Stats Number of Scaffolds	Assembly Stats Scaffold L50	Assembly Stats Scaffold N50	Assembly Stats Total Number of Chromosomes	Assembly Stats Total Sequence Length	Assembly Stats Total Ungapped Length	Organism Infraspecific Names Sex	Source Database	WGS project accession
GCA_015776775.1	Crassostrea hongkongensis	Hong Kong oyster	298176	Guangxi Academy of Fisheries Science	2020-12-08	PacBio Sequel	Chromosome	74	2576225	203661845	33.5	657	1067	657	5	55855599	10	607923123	607908133		SOURCE_DATABASE_GENBANK	VIAA01
GCF_002022765.2	Crassostrea virginica	eastern oyster	6565	McDonnell Genome Institute - Washington University School of Medicine	2017-09-01	PacBio_RSII	Chromosome	108	1971208	238490087	34.5	10	668	10	4	75944018	10	684723884	684658084		SOURCE_DATABASE_REFSEQ	MWPT03
GCA_002022765.4	Crassostrea virginica	eastern oyster	6565	McDonnell Genome Institute - Washington University School of Medicine	2017-09-01	PacBio_RSII	Chromosome	108	1971208	238490087	34.5	10	668	10	4	75944018	10	684723884	684658084		SOURCE_DATABASE_GENBANK	MWPT03
GCA_009760855.2	Cristatella mucedo		67896	Bioinformatics Institute	2020-10-23	PacBio Sequel; Oxford Nanopore; Illumina HiSeq	Scaffold	35	4115582	269287642	46.5	985	986	985	35	4115582		573869636	573869626		SOURCE_DATABASE_GENBANK	WPIO01
GCA_945261195.1	Cryptosula pallasiana		558755	WELLCOME SANGER INSTITUTE	2022-07-13		Chromosome	96	1788101	225090940	37	847	1662	847	6	46264604	12	605593191	605430191		SOURCE_DATABASE_GENBANK	CALYOO01
GCA_945257105.1	Cryptosula pallasiana		558755	WELLCOME SANGER INSTITUTE	2022-07-13		Contig	343	422764	193051592	37	3616	3616					519859578	519859578		SOURCE_DATABASE_GENBANK	CALYON01
GCA_012932295.1	Cyclina sinensis		120566	Jiangsu Ocean University	2020-04-29	Illumina HiSeq; PacBio	Scaffold	118	2587078	308502808	34	187	701	187	9	46470132		903119975	902101413	female	SOURCE_DATABASE_GENBANK	JAAONU01
GCA_900617775.1	Dibothriocephalus latus	broad fish tapeworm	60516	WTSI	2018-12-05		Scaffold	63899	2114	212936658	43	140294	422791	140294	21785	6744		531434409	493054376		SOURCE_DATABASE_GENBANK	UYRU01
GCA_944474145.2	Dicrocoelium dendriticum		57078	WELLCOME SANGER INSTITUTE	2022-09-23		Chromosome	4074	125327	855032295	45	19455	37564	19455	6	117106881	13	1889962902	1883491742		SOURCE_DATABASE_GENBANK	CALYDF02
GCA_000950715.1	Dicrocoelium dendriticum		57078	WTSI	2014-09-24		Contig	330085	403	178005874	41.5	478538	1156600					547921014	424790813		SOURCE_DATABASE_GENBANK	
GCA_011109175.1	Dicyema japonicum		399803	Okinawa Institute of Science and Technology Graduate University	2020-03-10	Illumina MiSeq; Illumina HiSeq; PacBio RSII	Scaffold	96	192981	23778242	36.5	377	1997	377	22	1000208		67542437	64797277		SOURCE_DATABASE_GENBANK	RDEW01
GCA_905250885.1	Didymodactylos carnosus		1234261	IMPERIAL COLLEGE LONDON	2021-03-21		Scaffold	7809	11859	123567682	33.5	78356	79051	78356	7695	12000		368785172	368775016		SOURCE_DATABASE_GENBANK	CAJNOQ01
GCA_905249995.1	Didymodactylos carnosus		1234261	IMPERIAL COLLEGE LONDON	2021-05-18		Scaffold	11975	7558	108279295	33	87048	90367	87048	11657	7779		323562373	323523290		SOURCE_DATABASE_GENBANK	CAJNOK01
GCA_905332065.1	Didymodactylos carnosus		1234261	IMPERIAL COLLEGE LONDON	2021-05-19		Scaffold	9618	10036	135105234	33.5	165346	168815	165346	9156	10523		401585883	401488337		SOURCE_DATABASE_GENBANK	CAJOBC01
GCA_905332075.1	Didymodactylos carnosus		1234261	IMPERIAL COLLEGE LONDON	2021-05-18		Scaffold	13568	6900	115436689	33.5	121494	126861	121494	13022	7197		344087970	344018061		SOURCE_DATABASE_GENBANK	CAJOBA01
GCA_904063045.1	Dimorphilus gyrociliatus		2664684	UNIVERSITY OF BERGEN/DEPT. OF BIOLOGY	2020-08-25		Scaffold	27	979161	24141911	31	349	779	349	11	2241898		77897245	76985580		SOURCE_DATABASE_GENBANK	CAJFCJ01
GCA_017562135.1	Dipylidium caninum		66787	Chinese Academy of Agricultural Sciences	2021-03-22	PacBio; Illumina HiSeq	Contig	47	598478	50806781	46.5	1686	1686					109012297	109012297		SOURCE_DATABASE_GENBANK	QEYB01
GCA_028455885.1	Dipylidium caninum		66787	Kansas State University College of Veterinary Medicine	2023-02-03	Illumina HiSeq	Scaffold	910	18023	37489856	45.5	18001	22731	18001	319	65234		82493519	82040403		SOURCE_DATABASE_GENBANK	JAODJR01
GCA_028456195.1	Dipylidium caninum		66787	Kansas State University College of Veterinary Medicine	2023-02-03	Illumina HiSeq	Scaffold	2285	8895	39856465	46	19975	27256	19975	600	36068		86576386	85879189		SOURCE_DATABASE_GENBANK	JAODJQ01
GCA_023376005.1	Doryteuthis pealeii	longfin inshore squid	1051067	UC Berkeley	2022-05-25	PacBio; Illumina	Chromosome	5625	230938	1551141463	33.5	2138	33930	2138	18	107400528	46	4598001602	4595024307	male	SOURCE_DATABASE_GENBANK	JALAJA01
GCA_016106625.1	Dracogyra subfuscus		2038759	Hong Kong University of Science and Technology	2020-12-17	Illumina NovaSeq	Scaffold	77437	4083	423878751	36.5	444004	568402	444004	53944	5907		1161245404	1153161013		SOURCE_DATABASE_GENBANK	JAECMU01
GCF_020536995.1	Dreissena polymorpha	zebra mussel	45954	University of Minnesota	2021-10-21	PacBio Sequel; Illumina HiSeq	Chromosome	444	1111654	631785015	35	193	2861	193	6	117515028	16	1797942340	1797675540	male	SOURCE_DATABASE_REFSEQ	JAIWYP01
GCA_000806325.1	Dreissena polymorpha	zebra mussel	45954	University of Girona	2014-12-22	454	Contig	342	855	325611	35.5	1057	1057					905680	905680		SOURCE_DATABASE_GENBANK	JWHF01
GCA_020536995.1	Dreissena polymorpha	zebra mussel	45954	University of Minnesota	2021-10-26	PacBio Sequel; Illumina HiSeq	Chromosome	444	1111654	631785015	35	193	2861	193	6	117515028	16	1797942340	1797675540	male	SOURCE_DATABASE_GENBANK	JAIWYP01
GCA_007657795.1	Dreissena rostriformis		205083	University of Vienna	2019-07-30	Illumina HiSeq	Scaffold	7207	45905	411150428	34.5	18514	49413	18514	2630	131390		1241703712	1178809608	male	SOURCE_DATABASE_GENBANK	VMBQ01
GCA_001938525.1	Dugesia japonica		6161	University of Oxford	2017-01-06	Illumina	Scaffold	195147	1166	222711159	26.5	648594	925272	648594	127723	1740		854187087	830036712		SOURCE_DATABASE_GENBANK	MQRL01
GCA_900004735.1	Echinococcus canadensis		519352	IMPAM-UBA-CONICET	2016-05-29		Scaffold	395	74555	48144211	41.5	9330	9332	9330	395	74555		115024622	115022610		SOURCE_DATABASE_GENBANK	CVKT01
GCF_000524195.1	Echinococcus granulosus		6210	Chinese National Human Genome Center at Shanghai	2014-01-28	454; Illumina	Scaffold	660	42483	45992196	41.5	957	8264	957	39	712683		110837706	110107006		SOURCE_DATABASE_REFSEQ	APAU02
GCA_000524195.1	Echinococcus granulosus		6210	Chinese National Human Genome Center at Shanghai	2014-01-28	454; Illumina	Scaffold	660	42483	45992196	41.5	957	8264	957	39	712683		110837706	110107006		SOURCE_DATABASE_GENBANK	APAU02
GCA_021556725.1	Echinococcus granulosus		6210	University of Melbourne	2022-01-24	PacBio	Chromosome	24	1386608	71326416	42	31	542	31	4	18675433	9	172983221	168957719		SOURCE_DATABASE_GENBANK	JAIKUZ01
GCA_000469725.3	Echinococcus multilocularis		6211	WTSI	2015-12-10		Scaffold	5	11270870	47331224	42	1247	1249	1217	4	13762452		114963228	112138579		SOURCE_DATABASE_GENBANK	CBLO02
GCA_900683695.1	Echinococcus oligarthrus		6212	IMPAM-UBA-CONICET	2019-06-14		Contig	12825	2071	41360374	39	74513	74513					105959096	105959096		SOURCE_DATABASE_GENBANK	CABFON01
GCA_900618425.1	Echinostoma caproni		27848	WTSI	2018-12-13		Scaffold	23211	8953	327197759	42.5	86083	160780	86083	7892	26954		834556378	769163222		SOURCE_DATABASE_GENBANK	UZAN01
GCA_003999395.1	Eisenia fetida	common brandling worm	6396	CSIR Insitute of Genomics and Integrative Biology	2019-01-04	Illumina	Scaffold	147157	897	183608485	40	399003	536508	399003	46184	9314		1471976452	455840724		SOURCE_DATABASE_GENBANK	SACV01
GCA_900000155.1	Eisenia fetida	common brandling worm	6396	Whitney Laboratory for Marine Bioscience	2017-02-13		Scaffold	917147	199	300595690	40.5	1659527	4728942	1659527	141722	1852		1052631503	738547526		SOURCE_DATABASE_GENBANK	CYRZ01
GCA_003991915.1	Elysia chlorotica	eastern emerald elysia	188477	BGI	2019-01-04	Illumina; PacBio	Scaffold	4983	30474	203539911	37.5	9989	41686	9989	386	441954		557480303	540565842		SOURCE_DATABASE_GENBANK	RQTK01
GCA_019649035.1	Elysia marginata		1093978	National Institute for Basic Biology	2021-05-09	Illumina	Scaffold	32472	6205	258783299	36.5	14149	213732	14149	967	225654		790322091	707937847		SOURCE_DATABASE_GENBANK	BMAT01
GCA_905160935.1	Enchytraeus crypticus		913645	Ghent University	2021-08-12		Contig	118	1254661	186000458	35	911	911					525207436	525207436		SOURCE_DATABASE_GENBANK	CAJHZI01
GCA_027564315.1	Enteroctopus dofleini	giant octopus	267067	Iridian Genomes	2023-01-03	Illumina	Scaffold	194003	1120	249741236	37	569232	675430	569232	114067	1386		743946058	669343358		SOURCE_DATABASE_GENBANK	JAOPUF01
GCA_011762755.2	Epimenia babai		231999	IRIDIAN GENOMES	2022-11-30	Illumina	Scaffold	24910	5209	234129972	43.5	229818	238599	229818	23560	5504		537167073	536824024		SOURCE_DATABASE_GENBANK	WURV02
GCA_029291075.1	Eudiplozoon nipponicum		116851	Masaryk University	2023-03-20	Illumina HiSeq; Illumina MiSeq; Oxford Nanopore MinION	Contig	3219	87067	328693137	34.5	21044	21044					939802929	939802929	hermaphrodite	SOURCE_DATABASE_GENBANK	JAQBSW01
GCA_020405105.1	Eudrilus eugeniae		169957	Manonmaniam Sundaranar University	2021-10-10	Illumina HiSeq	Contig	136832	906	202386471	42.5	738694	738694					475020277	475020277		SOURCE_DATABASE_GENBANK	JAIOKP01
GCA_024364805.1	Euprymna scolopes		6613	Simakov, Department of Neuroscience and Developmental Biology, University of Vienna	2022-07-22	HiC	Chromosome	237408	3675	1121240242	33.5	1735	1535427	1735	17	120303996	48	5116329061	3314970704		SOURCE_DATABASE_GENBANK	JANFOI01
GCA_004765925.1	Euprymna scolopes		6613	University of Hawaii at Manoa	2019-04-09	Illumina GAIIx	Scaffold	249940	3558	1153321779	33.5	59146	1644234	59146	397	3549550		5280013996	3411733096		SOURCE_DATABASE_GENBANK	SRIE01
GCA_018104335.1	Fasciola gigantica		46835	Guangxi University	2021-04-20	PacBio Sequel	Scaffold	85	4892498	598941217	44	1021	1052	1021	85	4892498		1347749759	1347749046		SOURCE_DATABASE_GENBANK	JAEQMV01
GCA_002867515.3	Fasciola gigantica		46835	North-Eastern Hill University	2019-08-27	Illumina HiSeq	Scaffold	29657	8066	356946572	43.5	40380	183354	40380	2105	128987		1036293543	815809261		SOURCE_DATABASE_GENBANK	MKHB03
GCA_006461475.1	Fasciola gigantica		46835	The Genome Institute	2019-06-25	Illumina HiSeq; PacBio RSII	Scaffold	9417	27147	470873555	44	16040	76295	16040	1842	179164		1127753889	1067966422		SOURCE_DATABASE_GENBANK	SUNJ01
GCA_900302435.1	Fasciola hepatica	liver fluke	6192	LIV	2018-04-21		Scaffold	9496	33509	513014329	44	78522	78522	2816	196	1903231		1203652780	1163517909		SOURCE_DATABASE_GENBANK	OMOY01
GCA_000824725.2	Fasciola hepatica	liver fluke	6192	LIV	2015-01-16		Scaffold	25079	11931	521077303	44	201608	201608	37554	2275	155290		1269308948	1182399016		SOURCE_DATABASE_GENBANK	CDMT01
GCA_000947175.1	Fasciola hepatica	liver fluke	6192	LIV	2014-12-01		Scaffold	24709	12161	521604278	44	195709	195709	20158	1799	204014		1275107963	1183582207		SOURCE_DATABASE_GENBANK	CCMX01
GCA_002763495.2	Fasciola hepatica	liver fluke	6192	The Genome Institute	2019-04-17	Illumina HiSeq	Scaffold	10991	27292	475918610	44	23604	95033	23604	2036	161103		1138329001	1080014412		SOURCE_DATABASE_GENBANK	JXXN02
GCA_008360955.1	Fasciolopsis buski		27845	McDonnell Genome Institute	2019-09-09	Illumina; PacBio	Scaffold	3646	51097	306623025	42.5	11829	31948	11829	1176	180478		748157630	720122929		SOURCE_DATABASE_GENBANK	LUCM01
GCA_946902895.1	Fragum fragum		80821	WELLCOME SANGER INSTITUTE	2022-09-22	PacBio,Arima2	Chromosome	167	2298020	404952526	35	38	882	38	8	63927008	19	1153070089	1152901461		SOURCE_DATABASE_GENBANK	CAMPPX01
GCA_946902885.1	Fragum fragum		80821	WELLCOME SANGER INSTITUTE	2022-09-22		Scaffold	281	1098762	327502014	35	1295	1309	1295	279	1109219		933667447	933664647		SOURCE_DATABASE_GENBANK	CAMPPW01
GCA_948146395.1	Fragum whitleyi		1699438	WELLCOME SANGER INSTITUTE	2023-01-18	PacBio,Arima2	Chromosome	139	2802427	437110828	35.5	37	708	37	8	69779563	18	1224640636	1224506436		SOURCE_DATABASE_GENBANK	CANUIF01
GCA_948145895.1	Fragum whitleyi		1699438	WELLCOME SANGER INSTITUTE	2023-01-18	PacBio,Arima2	Contig	89	3144575	307999115	35.5	429	429					864048065	864048065		SOURCE_DATABASE_GENBANK	CANUHU01
GCA_922989275.2	Gari tellinella		2589376	WELLCOME SANGER INSTITUTE	2022-10-25	PacBio,Illumina,Arima2	Chromosome	26	19181371	582242857	36	81	260	81	8	85279272	19	1597614753	1597578953		SOURCE_DATABASE_GENBANK	CAKLPP02
GCA_922984925.1	Gari tellinella		2589376	WELLCOME SANGER INSTITUTE	2021-12-18		Contig	317	1564666	576626314	36	2302	2302					1581861498	1581861498		SOURCE_DATABASE_GENBANK	CAKLPL01
GCA_936450465.1	Gibbula magus		703304	WELLCOME SANGER INSTITUTE	2022-05-03		Chromosome	121	3416053	536526892	36	151	1001	151	8	80454948	18	1470388822	1470219005		SOURCE_DATABASE_GENBANK	CAKZFU01
GCA_936439675.1	Gibbula magus		703304	WELLCOME SANGER INSTITUTE	2022-04-16		Scaffold	909	454001	529595649	36.5	7594	7632	7594	883	457344		1450877392	1450869975		SOURCE_DATABASE_GENBANK	CAKZFF01
GCA_002080005.1	Gigantidas platifrons		2830794	Hong Kong University of Science and Technology	2017-04-05	Illumina HiSeq	Scaffold	31432	12602	499952087	34	65662	272497	65662	1261	343341		1658191953	1463147377		SOURCE_DATABASE_GENBANK	MJUT01
GCF_016097555.1	Gigantopelta aegis		1735272	Hong Kong University of Science and Technology	2020-12-17	Illumina NovaSeq; PacBio Sequel; Hi-C	Chromosome	671	461769	427814364	37	5231	9479	5231	6	81591406	15	1149605642	1148756042		SOURCE_DATABASE_REFSEQ	JAEHGF01
GCA_016097555.1	Gigantopelta aegis		1735272	Hong Kong University of Science and Technology	2020-12-17	Illumina NovaSeq; PacBio Sequel; Hi-C	Chromosome	671	461769	427814364	37	5231	9479	5231	6	81591406	15	1149605642	1148756042		SOURCE_DATABASE_GENBANK	JAEHGF01
GCA_001938485.1	Girardia tigrina		6162	University of Oxford	2017-01-06	Illumina	Scaffold	71721	5133	390105701	29	255254	472894	255254	26443	12094		1428149015	1325751104		SOURCE_DATABASE_GENBANK	MQRK01
GCA_025762795.1	Goniobranchus coi		2723957	Iridian Genomes	2022-10-19	Illumina	Scaffold	129059	1634	253086310	37	475925	479820	475925	128234	1643		677083788	677017710		SOURCE_DATABASE_GENBANK	JAOXJN01
GCA_028565935.1	Goniobranchus fidelis		508130	Iridian Genomes	2023-02-09	Illumina	Scaffold	137089	2036	349335326	37.5	559414	561039	559414	136629	2040		929280104	929200220		SOURCE_DATABASE_GENBANK	JAOWAZ01
GCA_028565895.1	Goniobranchus geometricus		262603	Iridian Genomes	2023-02-09	Illumina	Scaffold	105439	2464	345919827	38	467213	468920	467213	105005	2471		907216199	907141320		SOURCE_DATABASE_GENBANK	JAOWAY01
GCA_025770095.1	Goniobranchus kuniei		262604	Iridian Genomes	2022-10-20	Illumina	Scaffold	129207	2720	447370275	37.5	573529	579338	573529	127834	2743		1190951304	1190784535		SOURCE_DATABASE_GENBANK	JAOYNN01
GCA_028566475.1	Goniobranchus leopardus		262605	Iridian Genomes	2023-02-09	Illumina	Scaffold	120861	1176	174370939	40	395694	396105	395694	120562	1177		432546281	432513920		SOURCE_DATABASE_GENBANK	JAOWAM01
GCA_012064415.1	Gyrodactylus bullatarudis		82660	Adam Mickiewicz University	2020-04-06	Illumina HiSeq	Scaffold	189	124054	26037476	31	4331	5021	4331	75	308184		84346884	83305429		SOURCE_DATABASE_GENBANK	SSNU01
GCA_000715275.1	Gyrodactylus salaris	gyrodactylosis fluke	37629	Natural History Museum, University of Oslo	2014-06-27	454; Illumina GAII	Scaffold	1324	14673	22800361	33.5	7265	7265	6075	1058	18390		67380660	67348420	hermaphrodite	SOURCE_DATABASE_GENBANK	JJOG01
GCA_022045235.1	Haliotis cracherodii	black abalone	6455	UCLA	2022-02-08	PacBio Sequel II; Illumina NovaSeq; Dovetail OmniC	Scaffold	18	17462865	479708522	40.5	80	158	80	9	60096789		1182234246	1182226430		SOURCE_DATABASE_GENBANK	JAJLRC01
GCA_022045225.1	Haliotis cracherodii	black abalone	6455	UCLA	2022-02-07	PacBio Sequel II; Illumina Nova; Dovetail OmniC	Scaffold	179	2050337	487524321	40.5	1215	1947	1215	10	52875726		1201949479	1201876271		SOURCE_DATABASE_GENBANK	JAJLRD01
GCA_008038995.1	Haliotis laevigata	greenlip abalone	36097	CSIRO	2019-08-20	Illumina HiSeq	Scaffold	95308	3353	472308243	39.5	105411	564152	105411	5202	81233		1762655385	1183333676	female	SOURCE_DATABASE_GENBANK	VKKT01
GCF_003918875.1	Haliotis rubra	blacklip abalone	36100	Deakin University	2018-12-07	Oxford Nanopore MiniION; Illumina NovaSeq	Scaffold	316	1177711	558527564	40.5	2854	3108	2854	304	1227833		1378265264	1378239864		SOURCE_DATABASE_REFSEQ	QXJH01
GCA_003918875.1	Haliotis rubra	blacklip abalone	36100	Deakin University	2018-12-07	Oxford Nanopore MiniION; Illumina NovaSeq	Scaffold	316	1177711	558527564	40.5	2854	3108	2854	304	1227833		1378265264	1378239864		SOURCE_DATABASE_GENBANK	QXJH01
GCF_023055435.1	Haliotis rufescens	red abalone	6454	UCLA	2022-04-19	PacBio Sequel IIe; Dovetail's OmniC; Illumina NovaSeq	Scaffold	43	8868657	545215729	40.5	615	769	615	11	45695856		1334454214	1334438814		SOURCE_DATABASE_REFSEQ	JALGQA01
GCF_003343065.1	Haliotis rufescens	red abalone	6454	Iowa State University	2018-07-26	PacBio; Illumina HiSeq	Scaffold	1343	283651	602549135	40.5	8370	20861	8370	214	1895871		1498683185	1480327122		SOURCE_DATABASE_REFSEQ	QGMO01
GCA_003343065.1	Haliotis rufescens	red abalone	6454	Iowa State University	2018-07-27	PacBio; Illumina HiSeq	Scaffold	1343	283651	602549135	40.5	8370	20861	8370	214	1895871		1498683185	1480327122		SOURCE_DATABASE_GENBANK	QGMO01
GCA_023055435.1	Haliotis rufescens	red abalone	6454	UCLA	2022-04-19	PacBio Sequel IIe; Dovetail's OmniC; Illumina NovaSeq	Scaffold	43	8868657	545215729	40.5	615	769	615	11	45695856		1334454214	1334438814		SOURCE_DATABASE_GENBANK	JALGQA01
GCA_023055495.1	Haliotis rufescens	red abalone	6454	UCLA	2022-04-19	PacBio Sequel IIe; Dovetail's OmniC; Illumina NovaSeq	Scaffold	50	7900433	563057468	40.5	362	494	362	12	44111220		1379205445	1379192245		SOURCE_DATABASE_GENBANK	JALGQB01
GCA_015501135.1	Hapalochlaena maculosa		61716	James Cook University	2020-11-16	Illumina	Scaffold	567801	1130	907042167	37	48284	4366465	48284	1044	931835		4009598772	2435282828	female	SOURCE_DATABASE_GENBANK	JACXVO01
GCA_947462335.1	Harmothoe impar		46595	WELLCOME SANGER INSTITUTE	2022-12-06	PacBio,Arima2	Chromosome	324	1337000	646305852	42.5	861	3019	861	8	83397641	18	1512304043	1511872626		SOURCE_DATABASE_GENBANK	CANHQG01
GCA_947462385.1	Harmothoe impar		46595	WELLCOME SANGER INSTITUTE	2022-12-02	PacBio,Arima2	Scaffold	907	431858	596632747	42.5	6659	6738	6659	876	440568		1399825932	1399810315		SOURCE_DATABASE_GENBANK	CANHQH01
GCF_000326865.2	Helobdella robusta		6412	DOE Joint Genome Institute	2012-12-20	Sanger	Scaffold	1171	52308	70646256	32.5	12191	12191	1917	21	3060193		235049875	215271529		SOURCE_DATABASE_REFSEQ	AMQM01
GCA_000326865.1	Helobdella robusta		6412	DOE Joint Genome Institute	2012-12-20	Sanger	Scaffold	1173	52195	70706679	32.5	12292	12292	1991	21	3060193		235376169	215436567		SOURCE_DATABASE_GENBANK	AMQM01
GCA_944470555.2	Heterobilharzia americana		39320	WELLCOME SANGER INSTITUTE	2022-09-20		Chromosome	40	5116422	258254326	38.5	393	1475	393	3	86847596	8	665588900	665164236		SOURCE_DATABASE_GENBANK	CALYCZ02
GCA_944470545.2	Heterobilharzia americana		39320	WELLCOME SANGER INSTITUTE	2022-09-20		Chromosome	98	2066510	265463675	38.5	736	1350	736	3	85344987	8	685355840	685114204		SOURCE_DATABASE_GENBANK	CALYCY02
GCA_027564295.1	Himantozoum antarcticum		2663172	IRIDIAN GENOMES	2023-01-03	Illumina	Scaffold	64258	2956	261263976	38	349636	353478	349636	63296	2980		683059872	682880626		SOURCE_DATABASE_GENBANK	JAOQGN01
GCA_946811185.1	Hippopus hippopus		80818	WELLCOME SANGER INSTITUTE	2022-09-15	PacBio,Arima2	Chromosome	70	4905753	389412536	36	37	381	37	8	63014760	19	1068488762	1068419962		SOURCE_DATABASE_GENBANK	CAMPFA01
GCA_946811455.1	Hippopus hippopus		80818	WELLCOME SANGER INSTITUTE	2022-09-20		Scaffold	522	557407	351087434	36	3880	3885	3880	519	558534		963384114	963383286		SOURCE_DATABASE_GENBANK	CAMPFB01
GCA_015345955.1	Hirudinaria manillensis		1348078	Shaanxi Normal University	2020-11-10	PacBio RSII	Contig	20	2277518	54593189	35.5	467	467					151673145	151673145		SOURCE_DATABASE_GENBANK	JADEYA01
GCA_011800805.1	Hirudo medicinalis	medicinal leech	6421	Scientific Research Institute of Physical-Chemical Medicine of the Federal Medical and Biological Agency	2020-03-31	IonTorrent	Scaffold	1548	24951	56274521	36	14030	25027	14030	488	97775		187546627	156124195		SOURCE_DATABASE_GENBANK	MPNW01
GCA_903470615.1	Hirudo medicinalis	medicinal leech	6421	Centre de Biologie pour la Gestion des Populations (CBGP - UMR1062)	2020-06-05		Scaffold	2772	14470	61709416	35.5	19929	36325	19929	772	50382		176963465	171703725		SOURCE_DATABASE_GENBANK	CAGKPE01
GCA_020137395.1	Hirudo verbana		311461	University of South Dakota	2021-09-24	HiSeq2500	Scaffold	27826	2079	90630416	38.5	59817	281242	59817	8077	8388		234989291	232775041		SOURCE_DATABASE_GENBANK	JAIQDV01
GCA_900622495.1	Hydatigera taeniaeformis		6205	WTSI	2018-12-05		Scaffold	1592	9405	43201382	42.5	30091	45909	30091	1153	12558		103664560	100513712		SOURCE_DATABASE_GENBANK	UYWX01
GCA_001703475.1	Hydroides elegans	calcareous tube worm	216498	Caltech	2016-08-11	Illumina HiSeq	Scaffold	47338	5980	354778385	35	188407	370534	188407	16688	17329		1026046400	1000331146	male	SOURCE_DATABASE_GENBANK	LQRL01
GCA_900708905.1	Hymenolepis diminuta	rat tapeworm	6216	UNIVERSITY OF WARMIA AND MAZURY	2019-03-25		Scaffold	669	75101	59217247	35	719	7154	719	23	2537350		177347734	167975287		SOURCE_DATABASE_GENBANK	CAADRB01
GCA_900618445.1	Hymenolepis diminuta	rat tapeworm	6216	WTSI	2018-12-05		Scaffold	1178	38145	57975287	35	13910	18736	13910	898	49882		165878914	164748079		SOURCE_DATABASE_GENBANK	UYSG01
GCA_902177915.1	Hymenolepis diminuta	rat tapeworm	6216	UNIVERSITY OF WARMIA AND MAZURY	2019-08-06		Scaffold	669	75101	59207839	35	719	7118	719	25	2331359		177074070	167950876		SOURCE_DATABASE_GENBANK	CABIJS01
GCA_000469805.3	Hymenolepis microstoma		85433	WTSI	2019-03-07		Chromosome	8	5805005	59103107	36	6	90	6	3	25815276	6	168929297	162442651		SOURCE_DATABASE_GENBANK	
GCA_028554795.1	Hyriopsis cumingii		165450	Shanghai Ocean University	2023-02-09	10X Genomics	Chromosome	1237	736175	1221530703	36	7726	15982	7726	15	84386632	19	3387447394	3386621794	female	SOURCE_DATABASE_GENBANK	JAPYKE01
GCA_001642005.1	Intoshia linei		1819745	A.N. Belozersky Institute of Physico-Chemical Biology, Lomonosov Moscow State University	2016-05-10	Illumina HiSeq	Scaffold	481	25991	10793817	25.5	3520	3591	3520	476	26268		41603068	41601659		SOURCE_DATABASE_GENBANK	LWCA01
GCA_009193005.1	Lamellibrachia luymesi		238240	Auburn University	2019-10-21	Illumina	Scaffold	6538	24086	241607480	40	11870	55092	11870	549	372990		687706213	601641922		SOURCE_DATABASE_GENBANK	SDWI01
GCA_022478865.1	Lamellibrachia satsuma		104711	National Marine Biodiversity Institute of Korea	2022-03-04	Illumina NovaSeq; Oxford Nanopore GridION	Contig	700	267064	266216938	40	6320	6320					664980951	664980951		SOURCE_DATABASE_GENBANK	JAHXPS01
GCA_004794575.1	Lanistes nyassanus		500758	Hong Kong Baptist University	2019-04-15	Illumina HiSeq	Scaffold	5657	25785	214611381	43	17149	52280	17149	455	317839		507389202	496989564	female	SOURCE_DATABASE_GENBANK	SMGT01
GCA_936440205.1	Lepidonotus clava		1210411	WELLCOME SANGER INSTITUTE	2022-05-03		Chromosome	39	7105433	412218362	40.5	400	798	400	8	55150419	18	1010237070	1010157653		SOURCE_DATABASE_GENBANK	CAKZFK01
GCA_936448955.1	Lepidonotus clava		1210411	WELLCOME SANGER INSTITUTE	2022-04-16		Scaffold	159	1812157	404479691	40.5	1481	1494	1481	157	1828373		994890984	994888384		SOURCE_DATABASE_GENBANK	CAKZFS01
GCA_009866985.1	Limacina bulimoides		1323128	Naturalis Biodiversity Center	2020-01-14	Illumina NextSeq	Scaffold	1007806	884	988648721	34	3735749	3759355	3735749	995056	893		2901930333	2901091377		SOURCE_DATABASE_GENBANK	SWLX01
GCA_944474755.1	Limnoperna fortunei		356393	WELLCOME SANGER INSTITUTE	2022-07-13		Chromosome	277	1498882	448731226	33.5	309	1838	309	7	97051362	15	1335559959	1335254342		SOURCE_DATABASE_GENBANK	CALYDG01
GCA_003130415.1	Limnoperna fortunei		356393	GIGA	2018-05-16	Illumina NextSeq 500; PacBio	Scaffold	16505	32203	566529853	33.5	20580	61104	20580	1489	309123		1673223206	1669374327		SOURCE_DATABASE_GENBANK	NFUK01
GCA_944589985.1	Limnoperna fortunei		356393	WELLCOME SANGER INSTITUTE	2022-07-13		Scaffold	265	1576211	467886966	33.5	1678	1683	1678	265	1576211		1391583978	1391582978		SOURCE_DATABASE_GENBANK	CALYMZ01
GCA_910592395.2	Lineus longissimus		88925	WELLCOME SANGER INSTITUTE	2022-02-13		Chromosome	14	9910080	161975263	41	30	107	30	8	20961375	19	391165532	391151032		SOURCE_DATABASE_GENBANK	CAJUZJ02
